Facility ID,Name,Address,License Type,License Number,Last Inspection Date,Inspection Purpose,Total Violations,Critical Violations,Violation Details
8,COUNTRY FOOD MART,4063 SOUTH COUNTY TRAIL CHARLESTOWN RI 02813,Cash Registers - 1-2,MRK06769,09-29-2025,Re-Inspection,3,0,"49 - non-food contact surfaces clean | 55 - physical facilities installed, maintained, & clean | 53 - toilet facilities: properly constructed, supplied, & cleaned"
8,COUNTRY FOOD MART,4063 SOUTH COUNTY TRAIL CHARLESTOWN RI 02813,Cash Registers - 1-2,MRK06769,07-01-2025,Re-Inspection,2,0,"49 - non-food contact surfaces clean | 55 - physical facilities installed, maintained, & clean"
8,COUNTRY FOOD MART,4063 SOUTH COUNTY TRAIL CHARLESTOWN RI 02813,Cash Registers - 1-2,MRK06769,03-03-2025,Routine,3,0,"55 - physical facilities installed, maintained, & clean | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 15 - food separated and protected"
9,WALGREENS NO 06592,1560 WARWICK AVENUE WARWICK RI 028891020,Cash Registers - 6 or more,MRK07004,08-30-2025,Routine,2,0,"15 - food separated and protected | 39 - contamination prevented during food preparation, storage, & display"
9,WALGREENS NO 06592,1560 WARWICK AVENUE WARWICK RI 028891020,Cash Registers - 6 or more,MRK07004,07-01-2025,Routine,2,0,49 - non-food contact surfaces clean | 51 - plumbing installed: proper backflow device
9,WALGREENS NO 06592,1560 WARWICK AVENUE WARWICK RI 028891020,Cash Registers - 6 or more,MRK07004,03-03-2025,Routine,0,0,None
9,WALGREENS NO 06592,1560 WARWICK AVENUE WARWICK RI 028891020,Cash Registers - 6 or more,MRK07004,12-03-2024,Follow-up,2,0,10 - adequate handwashing sinks properly supplied and accessible | 52 - sewage & waste water properly disposed
10,PAIS,182 THURBERS AVENUE PROVIDENCE RI 02905,Food Service (Non-Profit),FSV25203,08-30-2025,Follow-up,3,0,"51 - plumbing installed: proper backflow device | 53 - toilet facilities: properly constructed, supplied, & cleaned | 49 - non-food contact surfaces clean"
10,PAIS,182 THURBERS AVENUE PROVIDENCE RI 02905,Food Service (Non-Profit),FSV25203,06-01-2025,Routine,1,0,"55 - physical facilities installed, maintained, & clean"
10,PAIS,182 THURBERS AVENUE PROVIDENCE RI 02905,Food Service (Non-Profit),FSV25203,03-03-2025,Environmental Complaint,3,0,49 - non-food contact surfaces clean | 22 - proper cold holding temperatures | 10 - adequate handwashing sinks properly supplied and accessible
11,PANERA BREAD,1000 BALD HILL ROAD WARWICK RI 02886,Seats - 50 or More,FSV25500,08-30-2025,Routine,6,2,"10 - adequate handwashing sinks properly supplied and accessible | 55 - physical facilities installed, maintained, & clean | 53 - toilet facilities: properly constructed, supplied, & cleaned | 51 - plumbing installed: proper backflow device | 15 - food separated and protected | 49 - non-food contact surfaces clean"
11,PANERA BREAD,1000 BALD HILL ROAD WARWICK RI 02886,Seats - 50 or More,FSV25500,06-01-2025,Environmental Complaint,4,2,"22 - proper cold holding temperatures | 52 - sewage & waste water properly disposed | 55 - physical facilities installed, maintained, & clean | 10 - adequate handwashing sinks properly supplied and accessible"
11,PANERA BREAD,1000 BALD HILL ROAD WARWICK RI 02886,Seats - 50 or More,FSV25500,03-03-2025,Routine,4,0,"39 - contamination prevented during food preparation, storage, & display | 49 - non-food contact surfaces clean | 22 - proper cold holding temperatures | 15 - food separated and protected"
12,JEWISH ALLIANCE OF GREATER RHODE ISLAND,401 ELMGROVE AVENUE PROVIDENCE RI 02906,Food Service (Non-Profit),FSV28079,08-30-2025,Re-Inspection,7,0,"51 - plumbing installed: proper backflow device | 10 - adequate handwashing sinks properly supplied and accessible | 39 - contamination prevented during food preparation, storage, & display | 53 - toilet facilities: properly constructed, supplied, & cleaned | 15 - food separated and protected | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 22 - proper cold holding temperatures"
12,JEWISH ALLIANCE OF GREATER RHODE ISLAND,401 ELMGROVE AVENUE PROVIDENCE RI 02906,Food Service (Non-Profit),FSV28079,06-01-2025,Environmental Complaint,7,1,"47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 49 - non-food contact surfaces clean | 53 - toilet facilities: properly constructed, supplied, & cleaned | 55 - physical facilities installed, maintained, & clean | 51 - plumbing installed: proper backflow device | 10 - adequate handwashing sinks properly supplied and accessible | 39 - contamination prevented during food preparation, storage, & display"
12,JEWISH ALLIANCE OF GREATER RHODE ISLAND,401 ELMGROVE AVENUE PROVIDENCE RI 02906,Food Service (Non-Profit),FSV28079,04-02-2025,Routine,7,0,"10 - adequate handwashing sinks properly supplied and accessible | 53 - toilet facilities: properly constructed, supplied, & cleaned | 39 - contamination prevented during food preparation, storage, & display | 15 - food separated and protected | 55 - physical facilities installed, maintained, & clean | 22 - proper cold holding temperatures | 52 - sewage & waste water properly disposed"
12,JEWISH ALLIANCE OF GREATER RHODE ISLAND,401 ELMGROVE AVENUE PROVIDENCE RI 02906,Food Service (Non-Profit),FSV28079,12-03-2024,Re-Inspection,4,2,"47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 39 - contamination prevented during food preparation, storage, & display | 15 - food separated and protected | 51 - plumbing installed: proper backflow device"
13,CVS PHARMACY NO 10299,3986 OLD POST RD CHARLESTOWN RI 02813,Cash Registers - 1-2,MRK08372,09-29-2025,Routine,6,1,"53 - toilet facilities: properly constructed, supplied, & cleaned | 51 - plumbing installed: proper backflow device | 15 - food separated and protected | 10 - adequate handwashing sinks properly supplied and accessible | 22 - proper cold holding temperatures | 49 - non-food contact surfaces clean"
13,CVS PHARMACY NO 10299,3986 OLD POST RD CHARLESTOWN RI 02813,Cash Registers - 1-2,MRK08372,07-01-2025,Routine,5,1,"52 - sewage & waste water properly disposed | 15 - food separated and protected | 49 - non-food contact surfaces clean | 53 - toilet facilities: properly constructed, supplied, & cleaned | 39 - contamination prevented during food preparation, storage, & display"
13,CVS PHARMACY NO 10299,3986 OLD POST RD CHARLESTOWN RI 02813,Cash Registers - 1-2,MRK08372,03-03-2025,Routine,4,2,22 - proper cold holding temperatures | 49 - non-food contact surfaces clean | 15 - food separated and protected | 52 - sewage & waste water properly disposed
14,BLACKSTONE VALLEY ELEMENTARY 2,52 BROAD ST CUMBERLAND RI 02864,Food Service (Non-Profit),FSV30426,08-30-2025,Routine,7,2,"10 - adequate handwashing sinks properly supplied and accessible | 39 - contamination prevented during food preparation, storage, & display | 53 - toilet facilities: properly constructed, supplied, & cleaned | 22 - proper cold holding temperatures | 15 - food separated and protected | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 52 - sewage & waste water properly disposed"
14,BLACKSTONE VALLEY ELEMENTARY 2,52 BROAD ST CUMBERLAND RI 02864,Food Service (Non-Profit),FSV30426,06-01-2025,Follow-up,7,1,"52 - sewage & waste water properly disposed | 51 - plumbing installed: proper backflow device | 15 - food separated and protected | 49 - non-food contact surfaces clean | 53 - toilet facilities: properly constructed, supplied, & cleaned | 55 - physical facilities installed, maintained, & clean | 10 - adequate handwashing sinks properly supplied and accessible"
14,BLACKSTONE VALLEY ELEMENTARY 2,52 BROAD ST CUMBERLAND RI 02864,Food Service (Non-Profit),FSV30426,04-02-2025,Follow-up,3,0,"51 - plumbing installed: proper backflow device | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 39 - contamination prevented during food preparation, storage, & display"
14,BLACKSTONE VALLEY ELEMENTARY 2,52 BROAD ST CUMBERLAND RI 02864,Food Service (Non-Profit),FSV30426,12-03-2024,Routine,1,0,52 - sewage & waste water properly disposed
15,HEAVEN ON EARTH CATERING,210 WALCOTT ST PAWTUCKET RI 02860,Seats - Less than 50,FSV33410,09-29-2025,Routine,8,1,"49 - non-food contact surfaces clean | 51 - plumbing installed: proper backflow device | 22 - proper cold holding temperatures | 10 - adequate handwashing sinks properly supplied and accessible | 55 - physical facilities installed, maintained, & clean | 39 - contamination prevented during food preparation, storage, & display | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 52 - sewage & waste water properly disposed"
15,HEAVEN ON EARTH CATERING,210 WALCOTT ST PAWTUCKET RI 02860,Seats - Less than 50,FSV33410,06-01-2025,Routine,7,1,"47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 22 - proper cold holding temperatures | 51 - plumbing installed: proper backflow device | 53 - toilet facilities: properly constructed, supplied, & cleaned | 52 - sewage & waste water properly disposed | 10 - adequate handwashing sinks properly supplied and accessible | 15 - food separated and protected"
15,HEAVEN ON EARTH CATERING,210 WALCOTT ST PAWTUCKET RI 02860,Seats - Less than 50,FSV33410,04-02-2025,Routine,4,2,"49 - non-food contact surfaces clean | 10 - adequate handwashing sinks properly supplied and accessible | 52 - sewage & waste water properly disposed | 39 - contamination prevented during food preparation, storage, & display"
15,HEAVEN ON EARTH CATERING,210 WALCOTT ST PAWTUCKET RI 02860,Seats - Less than 50,FSV33410,12-03-2024,Routine,5,2,"22 - proper cold holding temperatures | 53 - toilet facilities: properly constructed, supplied, & cleaned | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 15 - food separated and protected | 49 - non-food contact surfaces clean"
16,HEAVEN ON EARTH CATERING AT ST RAPHAEL ACADEMY,123 WALCOTT ST PAWTUCKET RI 02860,Seats - Less than 50,FSV33409,08-30-2025,Follow-up,5,0,"22 - proper cold holding temperatures | 15 - food separated and protected | 51 - plumbing installed: proper backflow device | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 10 - adequate handwashing sinks properly supplied and accessible"
16,HEAVEN ON EARTH CATERING AT ST RAPHAEL ACADEMY,123 WALCOTT ST PAWTUCKET RI 02860,Seats - Less than 50,FSV33409,06-01-2025,Follow-up,5,2,"55 - physical facilities installed, maintained, & clean | 49 - non-food contact surfaces clean | 39 - contamination prevented during food preparation, storage, & display | 52 - sewage & waste water properly disposed | 22 - proper cold holding temperatures"
16,HEAVEN ON EARTH CATERING AT ST RAPHAEL ACADEMY,123 WALCOTT ST PAWTUCKET RI 02860,Seats - Less than 50,FSV33409,04-02-2025,Environmental Complaint,1,0,10 - adequate handwashing sinks properly supplied and accessible
16,HEAVEN ON EARTH CATERING AT ST RAPHAEL ACADEMY,123 WALCOTT ST PAWTUCKET RI 02860,Seats - Less than 50,FSV33409,12-03-2024,Routine,5,1,"22 - proper cold holding temperatures | 55 - physical facilities installed, maintained, & clean | 10 - adequate handwashing sinks properly supplied and accessible | 51 - plumbing installed: proper backflow device | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used"
17,KELLEYS DELI CO,116 GRANITE ST STE 8 WESTERLY RI 02891,Seats - 50 or More,FSV33717,09-29-2025,Routine,2,0,"53 - toilet facilities: properly constructed, supplied, & cleaned | 52 - sewage & waste water properly disposed"
17,KELLEYS DELI CO,116 GRANITE ST STE 8 WESTERLY RI 02891,Seats - 50 or More,FSV33717,06-01-2025,Routine,1,0,22 - proper cold holding temperatures
17,KELLEYS DELI CO,116 GRANITE ST STE 8 WESTERLY RI 02891,Seats - 50 or More,FSV33717,03-03-2025,Follow-up,0,0,None
17,KELLEYS DELI CO,116 GRANITE ST STE 8 WESTERLY RI 02891,Seats - 50 or More,FSV33717,01-02-2025,Routine,0,0,None
18,SUBWAY NO 13453,579 ATWELLS AVE STE 102 PROVIDENCE RI 02909,Seats - Less than 50,FSV33787,08-30-2025,Re-Inspection,6,1,49 - non-food contact surfaces clean | 52 - sewage & waste water properly disposed | 10 - adequate handwashing sinks properly supplied and accessible | 15 - food separated and protected | 51 - plumbing installed: proper backflow device | 22 - proper cold holding temperatures
18,SUBWAY NO 13453,579 ATWELLS AVE STE 102 PROVIDENCE RI 02909,Seats - Less than 50,FSV33787,06-01-2025,Re-Inspection,6,1,"51 - plumbing installed: proper backflow device | 49 - non-food contact surfaces clean | 22 - proper cold holding temperatures | 39 - contamination prevented during food preparation, storage, & display | 53 - toilet facilities: properly constructed, supplied, & cleaned | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used"
18,SUBWAY NO 13453,579 ATWELLS AVE STE 102 PROVIDENCE RI 02909,Seats - Less than 50,FSV33787,03-03-2025,Follow-up,4,0,"53 - toilet facilities: properly constructed, supplied, & cleaned | 51 - plumbing installed: proper backflow device | 15 - food separated and protected | 55 - physical facilities installed, maintained, & clean"
19,JESIAH MINI MARKET LLC,99 UNION AVE PROVIDENCE RI 02909,Cash Registers - 1-2,MRK09508,08-30-2025,Routine,2,0,"22 - proper cold holding temperatures | 39 - contamination prevented during food preparation, storage, & display"
19,JESIAH MINI MARKET LLC,99 UNION AVE PROVIDENCE RI 02909,Cash Registers - 1-2,MRK09508,06-01-2025,Environmental Complaint,0,0,None
19,JESIAH MINI MARKET LLC,99 UNION AVE PROVIDENCE RI 02909,Cash Registers - 1-2,MRK09508,04-02-2025,Environmental Complaint,0,0,None
19,JESIAH MINI MARKET LLC,99 UNION AVE PROVIDENCE RI 02909,Cash Registers - 1-2,MRK09508,12-03-2024,Environmental Complaint,2,0,"22 - proper cold holding temperatures | 55 - physical facilities installed, maintained, & clean"
20,STICK AND FIN,163 MAIN ST WESTERLY RI 02891,Seats - Less than 50,FSV34679,08-30-2025,Environmental Complaint,8,0,"52 - sewage & waste water properly disposed | 22 - proper cold holding temperatures | 15 - food separated and protected | 49 - non-food contact surfaces clean | 51 - plumbing installed: proper backflow device | 53 - toilet facilities: properly constructed, supplied, & cleaned | 39 - contamination prevented during food preparation, storage, & display | 55 - physical facilities installed, maintained, & clean"
20,STICK AND FIN,163 MAIN ST WESTERLY RI 02891,Seats - Less than 50,FSV34679,07-01-2025,Re-Inspection,8,2,"10 - adequate handwashing sinks properly supplied and accessible | 51 - plumbing installed: proper backflow device | 52 - sewage & waste water properly disposed | 55 - physical facilities installed, maintained, & clean | 15 - food separated and protected | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 39 - contamination prevented during food preparation, storage, & display | 49 - non-food contact surfaces clean"
20,STICK AND FIN,163 MAIN ST WESTERLY RI 02891,Seats - Less than 50,FSV34679,04-02-2025,Routine,4,0,"51 - plumbing installed: proper backflow device | 53 - toilet facilities: properly constructed, supplied, & cleaned | 15 - food separated and protected | 49 - non-food contact surfaces clean"
20,STICK AND FIN,163 MAIN ST WESTERLY RI 02891,Seats - Less than 50,FSV34679,12-03-2024,Environmental Complaint,8,0,"51 - plumbing installed: proper backflow device | 52 - sewage & waste water properly disposed | 15 - food separated and protected | 55 - physical facilities installed, maintained, & clean | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 53 - toilet facilities: properly constructed, supplied, & cleaned | 39 - contamination prevented during food preparation, storage, & display | 10 - adequate handwashing sinks properly supplied and accessible"
21,CHILDRENS WORKSHOP,178 EAST ST PAWTUCKET RI 02860,Food Service (Non-Profit),FSV34615,08-30-2025,Routine,8,0,"52 - sewage & waste water properly disposed | 10 - adequate handwashing sinks properly supplied and accessible | 49 - non-food contact surfaces clean | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 39 - contamination prevented during food preparation, storage, & display | 15 - food separated and protected | 53 - toilet facilities: properly constructed, supplied, & cleaned | 55 - physical facilities installed, maintained, & clean"
21,CHILDRENS WORKSHOP,178 EAST ST PAWTUCKET RI 02860,Food Service (Non-Profit),FSV34615,07-01-2025,Routine,8,2,"49 - non-food contact surfaces clean | 55 - physical facilities installed, maintained, & clean | 52 - sewage & waste water properly disposed | 15 - food separated and protected | 22 - proper cold holding temperatures | 10 - adequate handwashing sinks properly supplied and accessible | 51 - plumbing installed: proper backflow device | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used"
21,CHILDRENS WORKSHOP,178 EAST ST PAWTUCKET RI 02860,Food Service (Non-Profit),FSV34615,04-02-2025,Follow-up,8,2,"52 - sewage & waste water properly disposed | 15 - food separated and protected | 22 - proper cold holding temperatures | 39 - contamination prevented during food preparation, storage, & display | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 53 - toilet facilities: properly constructed, supplied, & cleaned | 55 - physical facilities installed, maintained, & clean | 51 - plumbing installed: proper backflow device"
22,KITCHEN MENTORS INC,1301 ELMWOOD AVE CRANSTON RI 02910,Caterer or Commissary,FSV35033,08-30-2025,Re-Inspection,7,1,"51 - plumbing installed: proper backflow device | 53 - toilet facilities: properly constructed, supplied, & cleaned | 15 - food separated and protected | 39 - contamination prevented during food preparation, storage, & display | 10 - adequate handwashing sinks properly supplied and accessible | 49 - non-food contact surfaces clean | 22 - proper cold holding temperatures"
22,KITCHEN MENTORS INC,1301 ELMWOOD AVE CRANSTON RI 02910,Caterer or Commissary,FSV35033,07-01-2025,Re-Inspection,7,0,"15 - food separated and protected | 51 - plumbing installed: proper backflow device | 52 - sewage & waste water properly disposed | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 49 - non-food contact surfaces clean | 39 - contamination prevented during food preparation, storage, & display | 10 - adequate handwashing sinks properly supplied and accessible"
22,KITCHEN MENTORS INC,1301 ELMWOOD AVE CRANSTON RI 02910,Caterer or Commissary,FSV35033,04-02-2025,Follow-up,7,2,"53 - toilet facilities: properly constructed, supplied, & cleaned | 22 - proper cold holding temperatures | 55 - physical facilities installed, maintained, & clean | 10 - adequate handwashing sinks properly supplied and accessible | 52 - sewage & waste water properly disposed | 15 - food separated and protected | 51 - plumbing installed: proper backflow device"
22,KITCHEN MENTORS INC,1301 ELMWOOD AVE CRANSTON RI 02910,Caterer or Commissary,FSV35033,01-02-2025,Routine,7,2,"10 - adequate handwashing sinks properly supplied and accessible | 51 - plumbing installed: proper backflow device | 15 - food separated and protected | 55 - physical facilities installed, maintained, & clean | 49 - non-food contact surfaces clean | 22 - proper cold holding temperatures | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used"
23,BARROWS SCHOOL,9 BEACHMONT AVE CRANSTON RI 02905,Food Service (Non-Profit),FSV35475,08-30-2025,Routine,2,0,"15 - food separated and protected | 53 - toilet facilities: properly constructed, supplied, & cleaned"
23,BARROWS SCHOOL,9 BEACHMONT AVE CRANSTON RI 02905,Food Service (Non-Profit),FSV35475,07-01-2025,Routine,1,0,49 - non-food contact surfaces clean
23,BARROWS SCHOOL,9 BEACHMONT AVE CRANSTON RI 02905,Food Service (Non-Profit),FSV35475,03-03-2025,Routine,2,0,"51 - plumbing installed: proper backflow device | 39 - contamination prevented during food preparation, storage, & display"
24,SLIM POSSIBLE,690 AQUIDNECK AVENUE MIDDLETOWN RI 02842,Seats - Less than 50,FSV35903,09-29-2025,Re-Inspection,4,1,"49 - non-food contact surfaces clean | 15 - food separated and protected | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 51 - plumbing installed: proper backflow device"
24,SLIM POSSIBLE,690 AQUIDNECK AVENUE MIDDLETOWN RI 02842,Seats - Less than 50,FSV35903,06-01-2025,Routine,2,0,15 - food separated and protected | 52 - sewage & waste water properly disposed
24,SLIM POSSIBLE,690 AQUIDNECK AVENUE MIDDLETOWN RI 02842,Seats - Less than 50,FSV35903,04-02-2025,Environmental Complaint,2,0,"47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 22 - proper cold holding temperatures"
25,GANSETT POKE,9 PIER MARKETPLACE NARRAGANSETT RI 02882,Caterer or Commissary,FSV36099,08-30-2025,Routine,3,0,10 - adequate handwashing sinks properly supplied and accessible | 15 - food separated and protected | 52 - sewage & waste water properly disposed
25,GANSETT POKE,9 PIER MARKETPLACE NARRAGANSETT RI 02882,Caterer or Commissary,FSV36099,06-01-2025,Routine,1,0,51 - plumbing installed: proper backflow device
25,GANSETT POKE,9 PIER MARKETPLACE NARRAGANSETT RI 02882,Caterer or Commissary,FSV36099,03-03-2025,Environmental Complaint,1,0,"47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used"
25,GANSETT POKE,9 PIER MARKETPLACE NARRAGANSETT RI 02882,Caterer or Commissary,FSV36099,01-02-2025,Re-Inspection,0,0,None
26,COLDSTONE CREAMERY,143 FRANKLIN STREET WESTERLY RI 02891,Seats - Less than 50,FSV36779,09-29-2025,Routine,7,2,"55 - physical facilities installed, maintained, & clean | 53 - toilet facilities: properly constructed, supplied, & cleaned | 10 - adequate handwashing sinks properly supplied and accessible | 51 - plumbing installed: proper backflow device | 52 - sewage & waste water properly disposed | 22 - proper cold holding temperatures | 49 - non-food contact surfaces clean"
26,COLDSTONE CREAMERY,143 FRANKLIN STREET WESTERLY RI 02891,Seats - Less than 50,FSV36779,06-01-2025,Follow-up,6,2,"49 - non-food contact surfaces clean | 39 - contamination prevented during food preparation, storage, & display | 47 - food & non-food contact surfaces cleanable, properly designed, constructed, & used | 22 - proper cold holding temperatures | 10 - adequate handwashing sinks properly supplied and accessible | 51 - plumbing installed: proper backflow device"
26,COLDSTONE CREAMERY,143 FRANKLIN STREET WESTERLY RI 02891,Seats - Less than 50,FSV36779,03-03-2025,Re-Inspection,5,1,"39 - contamination prevented during food preparation, storage, & display | 15 - food separated and protected | 10 - adequate handwashing sinks properly supplied and accessible | 55 - physical facilities installed, maintained, & clean | 51 - plumbing installed: proper backflow device"
26,COLDSTONE CREAMERY,143 FRANKLIN STREET WESTERLY RI 02891,Seats - Less than 50,FSV36779,12-03-2024,Follow-up,1,0,51 - plumbing installed: proper backflow device
